NAME_KURZ,terrace
03bb_ODG,"9065"
03ba_ODM,"9302"
03bb_ODG,"8944"
03ba_ODM,"8396"
10a_Hoehenschotter,"10327"
06a_HDS_Donau_Biber_1800_780_ka,"18838"
03bb_ODG,"9156"
03c_TDS_Mindel_Guenz_1800_780_ka,"1182"
03ba_ODM,"7411"
03bb_ODG,"9039"
03bb_ODG,"7426"
10a_Hoehenschotter,"10313"
03ba_ODM,"8422"
03bb_ODG,"8695"
03bb_ODG,"9130"
03ba_ODM,"9628"
03c_TDS_Mindel_Guenz_1800_780_ka,"1188"
03ba_ODM,"8579"
03bb_ODG,"9704"
10a_Hoehenschotter,"10339"
03ba_ODM,"8472"
03ba_ODM,"8187"
03bb_ODG,"9466"
03bb_ODG,"8987"
03bb_ODG,"7630"
03bc_ODD,"8650"
03ba_ODM,"8787"
03ba_ODM,"9348"
10a_Hoehenschotter,"6856"
03ba_ODM,"8498"
03bb_ODG,"8866"
03ba_ODM,"9505"
03bb_ODG,"7604"
03c_TDS_Mindel_Guenz_1800_780_ka,"1243"
03ba_ODM,"8671"
03bb_ODG,"8840"
06a_HDS_Donau_Biber_1800_780_ka,"6005"
03bc_ODD,"9206"
03bb_ODG,"9414"
03c_TDS_Mindel_Guenz_1800_780_ka,"6999"
03ba_ODM,"8076"
03c_TDS_Mindel_Guenz_1800_780_ka,"1249"
03bb_ODG,"9732"
03ba_ODM,"9424"
03ba_ODM,"9700"
03ba_ODM,"8391"
03ba_ODM,"8968"
06a_HDS_Donau_Biber_1800_780_ka,"1287"
03bb_ODG,"7552"
03bb_ODG,"9271"
03ba_ODM,"9283"
03ba_ODM,"8441"
03ba_ODM,"8994"
03ba_ODM,"9623"
03bb_ODG,"9139"
03ba_ODM,"9741"
03c_TDS_Mindel_Guenz_1800_780_ka,"1197"
03ba_ODM,"8891"
03ba_ODM,"7404"
03bb_ODG,"9245"
10a_Hoehenschotter,"7729"
03ba_ODM,"7854"
03ba_ODM,"8467"
03bc_ODD,"9003"
03ba_ODM,"9609"
03bb_ODG,"9113"
03c_TDS_Mindel_Guenz_1800_780_ka,"1203"
03ba_ODM,"8011"
03bb_ODG,"9793"
03bb_ODG,"9566"
03ba_ODM,"9086"
10a_Hoehenschotter,"10111"
03bb_ODG,"8754"
03bb_ODG,"9449"
03ba_ODM,"9528"
03bb_ODG,"9661"
03c_TDS_Mindel_Guenz_1800_780_ka,"1216"
06a_HDS_Donau_Biber_1800_780_ka,"1271"
03ba_ODM,"7345"
03ba_ODM,"8219"
03ba_ODM,"9393"
03bb_ODG,"8622"
03ba_ODM,"9669"
03bb_ODG,"9423"
03c_TDS_Mindel_Guenz_1800_780_ka,"1254"
03ba_ODM,"8513"
03bb_ODG,"9397"
03ba_ODM,"8121"
06a_HDS_Donau_Biber_1800_780_ka,"1294"
03bb_ODG,"7561"
03ba_ODM,"7990"
03bb_ODG,"9488"
10a_Hoehenschotter,"10331"
03bb_ODG,"7323"
03bb_ODG,"8815"
03bb_ODG,"9250"
03c_TDS_Mindel_Guenz_1800_780_ka,"1170"
03bb_ODG,"9718"
03bb_ODG,"8906"
03ba_ODM,"8426"
03bb_ODG,"8789"
03c_TDS_Mindel_Guenz_1800_780_ka,"1208"
03ba_ODM,"8631"
10a_Hoehenschotter,"10233"
03ba_ODM,"7318"
03ba_ODM,"9073"
03c_TDS_Mindel_Guenz_1800_780_ka,"7262"
03bb_ODG,"7618"
03c_TDS_Mindel_Guenz_1800_780_ka,"1225"
06a_HDS_Donau_Biber_1800_780_ka,"1278"
03c_TDS_Mindel_Guenz_1800_780_ka,"7369"
03bc_ODD,"8744"
